,State,Year,HC01_VC38,HC01_VC43,HC03_VC43,HC01_VC44,HC03_VC44,HC01_VC45,HC03_VC45,HC01_VC46,HC03_VC46,HC01_VC47,HC03_VC47,HC01_VC48,HC03_VC48,HC01_VC49,HC03_VC49,HC01_VC50,HC03_VC50,HC01_VC51,HC03_VC51,HC01_VC52,HC03_VC52,HC01_VC53,HC03_VC53,HC01_VC54,HC03_VC54,HC01_VC55,HC03_VC55,HC01_VC56,HC03_VC56,HC01_VC57,HC03_VC57,HC01_VC58,HC03_VC58,HC01_VC59,HC03_VC59,HC01_VC60,HC03_VC60,HC01_VC61,HC03_VC61,HC01_VC62,HC03_VC62,HC01_VC63,HC03_VC63,HC01_VC64,HC03_VC64,HC01_VC65,HC03_VC65,HC01_VC66,HC03_VC66,HC01_VC67,HC03_VC67,HC01_VC68,HC03_VC68,HC01_VC71,HC03_VC71,HC01_VC72,HC03_VC72,HC01_VC73,HC03_VC73,HC01_VC74,HC03_VC74,HC01_VC75,HC03_VC75,HC01_VC76,HC03_VC76,HC01_VC77,HC03_VC77,HC01_VC81,HC03_VC81,HC01_VC82,HC03_VC82,HC01_VC83,HC03_VC83,HC01_VC84,HC03_VC84,HC01_VC85,HC03_VC85,HC01_VC86
0,Alabama,2010,4712651,3293917,69.9,1232325,26.1,25814,0.5,9702,0.2,417,0.0,120,0.0,195,0.0,51219,1.1,12251,0.3,9999,0.2,4612,0.1,3234,0.1,7197,0.2,7336,0.2,6590,0.1,1769,0.0,407,0.0,804,0.0,260,0.0,298,0.0,46237,1.0,61370,1.3,16379,0.3,23130,0.5,6942,0.1,4057,0.1,4712651,4712651,3347275,71.0,1258332,26.7,55827,1.2,61503,1.3,3326,0.1,51260,1.1,4712651,4712651,162371,3.4,111664,2.4,11011,0.2,4017,0.1,35679
1,Alaska,2010,691189,464150,67.2,22655,3.3,98120,14.2,788,0.1,232,0.0,299,0.0,445,0.1,36021,5.2,648,0.1,2003,0.3,20415,3.0,1484,0.2,4058,0.6,1288,0.2,6125,0.9,6317,0.9,1149,0.2,214,0.0,3707,0.5,1247,0.2,9833,1.4,54093,7.8,5345,0.8,30816,4.5,6340,0.9,1411,0.2,691189,691189,512930,74.2,32344,4.7,134861,19.5,46643,6.7,9369,1.4,12941,1.9,691189,691189,38393,5.6,22059,3.2,4380,0.6,780,0.1,11174
2,Arizona,2010,6246816,4883606,78.2,240655,3.9,278336,4.5,4042,0.1,986,0.0,137406,2.2,1798,0.0,166663,2.7,33458,0.5,35584,0.6,32695,0.5,10375,0.2,14444,0.2,21802,0.3,18305,0.3,12038,0.2,4105,0.1,2114,0.0,1859,0.0,3960,0.1,498977,8.0,166541,2.7,28519,0.5,36960,0.6,29626,0.5,4674,0.1,6246816,6246816,5027342,80.5,286094,4.6,331100,5.3,209478,3.4,21251,0.3,548919,8.8,6246816,6246816,1814674,29.0,1631468,26.1,30532,0.5,8944,0.1,143730
3,Arkansas,2010,2872684,2253875,78.5,445197,15.5,19192,0.7,8826,0.3,203,0.0,97,0.0,354,0.0,33327,1.2,6080,0.2,4214,0.1,3977,0.1,1311,0.0,3231,0.1,5012,0.2,9502,0.3,4133,0.1,397,0.0,298,0.0,144,0.0,3294,0.1,65382,2.3,51578,1.8,12775,0.4,24243,0.8,4566,0.2,1520,0.1,2872684,2872684,2302083,80.1,462103,16.1,46575,1.6,39725,1.4,4971,0.2,71238,2.5,2872684,2872684,168427,5.9,128480,4.5,4740,0.2,754,0.0,34453
4,California,2010,36637290,22392713,61.1,2246311,6.1,283628,0.8,23855,0.1,3434,0.0,8339,0.0,4562,0.0,4747252,13.0,496350,1.4,1232805,3.4,1188036,3.2,294382,0.8,441438,1.2,567833,1.5,526408,1.4,140429,0.4,23709,0.1,25309,0.1,37614,0.1,53797,0.1,5448609,14.9,1378348,3.8,167150,0.5,221453,0.6,352395,1.0,36402,0.1,36637290,36637290,23545965,64.3,2580672,7.0,628402,1.7,5271312,14.4,234910,0.6,5866577,16.0,36637290,36637290,13456157,36.7,11231410,30.7,172746,0.5,82788,0.2,1969213
5,Colorado,2010,4887061,4082565,83.5,190598,3.9,47022,1.0,3900,0.1,698,0.0,6592,0.1,3202,0.1,133134,2.7,17029,0.3,25147,0.5,13444,0.3,12077,0.2,22015,0.5,21755,0.4,21667,0.4,5757,0.1,1621,0.0,1331,0.0,1012,0.0,1793,0.0,277524,5.7,150461,3.1,28006,0.6,40133,0.8,28566,0.6,2897,0.1,4887061,4887061,4218456,86.3,233536,4.8,99777,2.0,172653,3.5,12717,0.3,312700,6.4,4887061,4887061,983326,20.1,736652,15.1,19439,0.4,5397,0.1,221838
6,Connecticut,2010,3545837,2795926,78.9,342764,9.7,7959,0.2,898,0.0,218,0.0,18,0.0,85,0.0,129904,3.7,44715,1.3,29776,0.8,12225,0.3,3533,0.1,9156,0.3,9708,0.3,20791,0.6,1332,0.0,589,0.0,222,0.0,119,0.0,402,0.0,189160,5.3,78792,2.2,24683,0.7,10633,0.3,11536,0.3,4856,0.1,3545837,3545837,2860524,80.7,384872,10.9,28704,0.8,145894,4.1,2578,0.1,208967,5.9,3545837,3545837,447111,12.6,45346,1.3,247843,7.0,9230,0.3,144692
7,Delaware,2010,881278,626426,71.1,185253,21.0,3076,0.3,413,0.0,19,0.0,38,0.0,65,0.0,27914,3.2,11396,1.3,6470,0.7,3857,0.4,632,0.1,1365,0.2,1687,0.2,2507,0.3,457,0.1,231,0.0,68,0.0,92,0.0,66,0.0,19915,2.3,18237,2.1,7207,0.8,2597,0.3,2454,0.3,1512,0.2,881278,881278,641387,72.8,196670,22.3,8321,0.9,31782,3.6,991,0.1,22052,2.5,881278,881278,66915,7.6,28509,3.2,20574,2.3,1444,0.2,16388
8,District of Columbia,2010,584400,222375,38.1,309048,52.9,1625,0.3,171,0.0,0,0.0,44,0.0,56,0.0,20323,3.5,4849,0.8,5737,1.0,2405,0.4,891,0.2,2141,0.4,1824,0.3,2476,0.4,362,0.1,98,0.0,12,0.0,0,0.0,252,0.0,20021,3.4,10646,1.8,2724,0.5,813,0.1,2348,0.4,1286,0.2,584400,584400,229764,39.3,315601,54.0,4633,0.8,23804,4.1,723,0.1,21587,3.7,584400,584400,51301,8.8,8381,1.4,3401,0.6,2046,0.4,37473
9,Florida,2010,18511620,14115228,76.3,2900412,15.7,54570,0.3,10164,0.1,1597,0.0,429,0.0,1626,0.0,444584,2.4,126708,0.7,68657,0.4,85074,0.5,13926,0.1,27174,0.1,62704,0.3,60341,0.3,10797,0.1,2691,0.0,2680,0.0,1237,0.0,4189,0.0,624129,3.4,361900,2.0,104615,0.6,62314,0.3,55510,0.3,10966,0.1,18511620,18511620,14422010,77.9,3061685,16.5,140044,0.8,530980,2.9,21815,0.1,717724,3.9,18511620,18511620,3995324,21.6,592395,3.2,792952,4.3,1153506,6.2,1456471
