,State,HC01_VC43,HC01_VC49,HC03_VC49,HC01_VC50,HC03_VC50,HC01_VC51,HC03_VC51,HC01_VC52,HC03_VC52,HC01_VC53,HC03_VC53,HC01_VC54,HC03_VC54,HC01_VC55,HC03_VC55,HC01_VC56,HC03_VC56,HC01_VC57,HC03_VC57,HC01_VC58,HC03_VC58,HC01_VC59,HC03_VC59,HC01_VC60,HC03_VC60,HC01_VC61,HC03_VC61,HC01_VC62,HC03_VC62,HC01_VC63,HC03_VC63,HC01_VC64,HC03_VC64,HC01_VC65,HC03_VC65,HC01_VC66,HC03_VC66,HC01_VC67,HC03_VC67,HC01_VC68,HC03_VC68,HC01_VC69,HC03_VC69,HC01_VC70,HC03_VC70,HC01_VC71,HC03_VC71,HC01_VC72,HC03_VC72,HC01_VC73,HC03_VC73,HC01_VC74,HC03_VC74,HC01_VC77,HC03_VC77,HC01_VC78,HC03_VC78,HC01_VC79,HC03_VC79,HC01_VC80,HC03_VC80,HC01_VC81,HC03_VC81,HC01_VC82,HC03_VC82,HC01_VC83,HC03_VC83,HC01_VC87,HC03_VC87,HC01_VC88,HC03_VC88,HC01_VC89,HC03_VC89,HC01_VC90,HC03_VC90,HC01_VC91,HC03_VC91,HC01_VC92
1,Alabama,4841164,3325037,68.7,1282053,26.5,23919,0.5,8651,0.2,138,0.0,227,0.0,252,0.0,60744,1.3,12459,0.3,12280,0.3,5891,0.1,2048,0.0,11068,0.2,8833,0.2,8165,0.2,2008,0.0,425,0.0,924,0.0,181,0.0,478,0.0,61991,1.3,85412,1.8,27253,0.6,27620,0.6,11341,0.2,3752,0.1,4841164,4841164,3400118,70.2,1320276,27.3,58977,1.2,77731,1.6,4858,0.1,69651,1.4,4841164,4841164,193503,4.0,124935,2.6,16391,0.3,5423,0.1,46754
2,Alaska,736855,483518,65.6,24443,3.3,103574,14.1,745,0.1,570,0.1,302,0.0,429,0.1,44218,6.0,835,0.1,2122,0.3,24824,3.4,1485,0.2,4697,0.6,1134,0.2,9121,1.2,8862,1.2,1548,0.2,481,0.1,5104,0.7,1729,0.2,9900,1.3,62340,8.5,7319,1.0,32356,4.4,7883,1.1,1924,0.3,736855,736855,538969,73.1,37800,5.1,143587,19.5,58279,7.9,13301,1.8,13314,1.8,736855,736855,49031,6.7,26187,3.6,7061,1.0,822,0.1,14961
3,Arizona,6728577,5235158,77.8,287110,4.3,296732,4.4,3049,0.0,1016,0.0,146679,2.2,1795,0.0,205229,3.1,47138,0.7,39216,0.6,37832,0.6,9997,0.1,15407,0.2,28256,0.4,27383,0.4,12863,0.2,4123,0.1,2129,0.0,1938,0.0,4673,0.1,468906,7.0,222579,3.3,46143,0.7,48598,0.7,41651,0.6,6752,0.1,6728577,6728577,5424677,80.6,358764,5.3,369109,5.5,268095,4.0,28637,0.4,521066,7.7,6728577,6728577,2054849,30.5,1845058,27.4,41598,0.6,13545,0.2,154648
4,Arkansas,2968472,2307136,77.7,460638,15.5,18697,0.6,7698,0.3,189,0.0,155,0.0,349,0.0,41539,1.4,10589,0.4,6663,0.2,4699,0.2,955,0.0,2153,0.1,5503,0.2,10977,0.4,6738,0.2,439,0.0,96,0.0,338,0.0,5865,0.2,67645,2.3,66079,2.2,17729,0.6,27680,0.9,6927,0.2,1793,0.1,2968472,2968472,2367649,79.8,484170,16.3,50855,1.7,51277,1.7,9295,0.3,74607,2.5,2968472,2968472,207049,7.0,154215,5.2,5973,0.2,1798,0.1,45063
5,California,38654206,23680584,61.3,2261835,5.9,285512,0.7,19707,0.1,2422,0.0,8784,0.0,4389,0.0,5354608,13.9,666480,1.7,1437701,3.7,1255672,3.2,274797,0.7,461305,1.2,632607,1.6,626046,1.6,150908,0.4,22615,0.1,24793,0.1,39714,0.1,63786,0.2,5133600,13.3,1787159,4.6,245814,0.6,285119,0.7,505122,1.3,39246,0.1,38654206,38654206,25159975,65.1,2723286,7.0,728094,1.9,6122435,15.8,305202,0.8,5575498,14.4,38654206,38654206,14903982,38.6,12400437,32.1,210940,0.5,93974,0.2,2198631
6,Colorado,5359295,4517058,84.3,219349,4.1,50160,0.9,4714,0.1,1042,0.0,7209,0.1,3183,0.1,157523,2.9,25735,0.5,31920,0.6,14538,0.3,11766,0.2,21340,0.4,22770,0.4,29454,0.5,7441,0.1,2437,0.0,1456,0.0,1496,0.0,2052,0.0,224029,4.2,183735,3.4,36356,0.7,42153,0.8,40748,0.8,3990,0.1,5359295,5359295,4680304,87.3,275390,5.1,109844,2.0,213955,4.0,17437,0.3,262658,4.9,5359295,5359295,1132292,21.1,835310,15.6,30074,0.6,10050,0.2,256858
7,Connecticut,3588570,2768080,77.1,372696,10.4,9399,0.3,532,0.0,119,0.0,41,0.0,59,0.0,152782,4.3,56657,1.6,35250,1.0,13230,0.4,3986,0.1,10110,0.3,8529,0.2,25020,0.7,1031,0.0,200,0.0,293,0.0,163,0.0,375,0.0,177594,4.9,106988,3.0,31611,0.9,12709,0.4,18835,0.5,5352,0.1,3588570,3588570,2854220,79.5,427743,11.9,35617,1.0,179291,5.0,4222,0.1,204447,5.7,3588570,3588570,537728,15.0,56038,1.6,283278,7.9,10978,0.3,187434
8,Delaware,934695,647002,69.2,203027,21.7,3494,0.4,468,0.1,17,0.0,44,0.0,0,0.0,34428,3.7,13648,1.5,8801,0.9,3491,0.4,441,0.0,2289,0.2,1667,0.2,4091,0.4,461,0.0,117,0.0,219,0.0,30,0.0,95,0.0,20452,2.2,25831,2.8,11812,1.3,2534,0.3,3679,0.4,1532,0.2,934695,934695,668801,71.6,220122,23.6,9266,1.0,40276,4.3,1442,0.2,23261,2.5,934695,934695,82662,8.8,32243,3.4,25812,2.8,1913,0.2,22694
9,District of Columbia,659009,266035,40.4,318598,48.3,2174,0.3,292,0.0,23,0.0,46,0.0,70,0.0,24036,3.6,5765,0.9,6345,1.0,3015,0.5,1288,0.2,2558,0.4,1751,0.3,3314,0.5,271,0.0,49,0.0,116,0.0,76,0.0,30,0.0,29650,4.5,18245,2.8,4334,0.7,1250,0.2,5512,0.8,1247,0.2,659009,659009,279981,42.5,327316,49.7,6170,0.9,32063,4.9,1073,0.2,32622,5.0,659009,659009,69106,10.5,11378,1.7,4942,0.7,2901,0.4,49885
10,Florida,19934451,15130748,75.9,3216994,16.1,52904,0.3,9790,0.0,1031,0.0,346,0.0,1107,0.0,521272,2.6,143020,0.7,93333,0.5,99035,0.5,13918,0.1,28627,0.1,70628,0.4,72711,0.4,11288,0.1,3248,0.0,3481,0.0,1469,0.0,3090,0.0,505877,2.5,495368,2.5,163448,0.8,71550,0.4,85800,0.4,11756,0.1,19934451,19934451,15545681,78.0,3461407,17.4,159640,0.8,662401,3.3,38991,0.2,602835,3.0,19934451,19934451,4806854,24.1,676551,3.4,1014340,5.1,1400092,7.0,1715871
