,Port Code,Street Address,City,State,Postal Code,Field
0,1904,Concourse A/FIS,Birmingham,AL,35212,New Orleans
1,1910,2850 Wall-Triana Highway,Huntsville,AL,35824,New Orleans
2,1901,150 N. Royal Street,Mobile,AL,36602,New Orleans
3,3104,Milepost 1221.8 Alaska Hwy,Alcan,AK,99780,Portland
4,3126,605 W. 4th Ave.,Anchorage,AK,99501,Portland
5,3106,"Mile 40, Haines Hwy.",Dalton Cache,AK,99827,Portland
6,3111,6450 Airport Way,Fairbanks,AK,99709,
7,3101,1875 Shell Simmons Dr. Suite 116,Juneau,AK,99801,Portland
8,3102,648 Mission St.,Ketchikan,AK,99901,Portland
9,3127,c/o 605 W. 4th Ave.,Anchorage,AK,99501,Portland
10,3128,113 W. Front Street,Nome,AK,99762,Portland
11,3115,329 Harbor Dr.,Sitka,AK,99835,Portland
12,3103,"Milepost 6.8, Klondike Hwy.",Skagway,AK,99840,Portland
13,3107,"c/o 605 West 4th Avenue, Suite 230",Anchorage,AK,99501,Portland
14,3105,431 Zimovia Highway,Wrangell,AK,99929,Portland
15,2601,First Street and Pan American Avenue,Douglas,AZ,85607,Tucson
16,2602,Highway 85 & Border,Lukeville,AZ,85341,Tucson
17,2603,3867 S. Towner Avenue,Naco,AZ,85620,Tucson
18,2604,9 North Grand Ave.,Nogales,AZ,85621,Tucson
19,2605,"3002 E. Old Tower Road, Suite 400",Phoenix,AZ,85034,Tucson
20,2682,5803 S. Sossaman Rd.,Mesa,AZ,85212,Tucson
21,2608,Highway 95 & International Border,San Luis,AZ,85349,Tucson
22,2606,Highway 286 and International Border,Sasabe,AZ,85633,Tucson
23,2681,15000 N. Airport Drive,"Scottsdale,",AZ,85260,Tucson
24,2609,7150 S. Tucson Boulevard,Tucson,AZ,85706,Tucson
25,2003,1000 Temple Street,Little Rock,AR,72202,New Orleans
26,2084,#5 Hammerschmidt Drive,Rogers,AR,72756,New Orleans
27,2502,235 Andrade Road,Winterhaven,CA,92283,San Diego
28,2507,"1699 East Carr, Rd",Calexico,CA,92231,San Diego
29,2503,200 East First Street,Calexico,CA,92231,San Diego
30,2802,"317 3rd Street, Suite 6",Eureka,CA,95501,San Francisco
31,2803,5177 E. Clinton Way,Fresno,CA,93727,San Francisco
32,2720,11099 South La Cienega Blvd.,Los Angeles,CA,90045,Los Angeles
33,2704,301 E. Ocean Blvd.,Long Beach,CA,90802,Los Angeles
34,2721,2222 E. Airport Drive,Ontario,CA,91761,Los Angeles
35,2506,9777 Via De La Amistad,San Diego,CA,92154,San Diego
36,2781,210 N. El Cielo Road,Palm Springs,CA,92262,Los Angeles
37,2713,720 W. Hueneme Road,Oxnard,CA,93033,Los Angeles
38,2835,6900 Airport Boulevard,Sacramento,CA,95837,San Francisco
39,2782,265 N. Leland Norton Way,San Bernardino,CA,92408,Los Angeles
40,2501,610 W. Ash Street Suite 1000,San Diego,CA,92101,San Diego
41,2801,555 Battery Street,San Francisco,CA,94111,San Francisco
42,2809,"555 Battery Street, Room 319",San Francisco,CA,94111,San Francisco
43,2834,2065 Airport Blvd.,San Jose,CA,95110,San Francisco
44,2504,720 East San Ysidro Blvd,San Ysidro,CA,92173,San Diego
45,2505,405 Tecate Rd,Tecate,CA,91980,San Diego
46,2783,18374 Readiness Street,Victorville,CA,92394,Los Angeles
47,3384,"7601 S. Peoria St., D-16",Englewood,CO,80012,Portland
48,3307,18300 E. 71st Ave.,Denver,CO,80249,Portland
49,3385,0871 Cooley Mesa Road,Gypsum,CO,81637,Portland
50,3383,11755 Airport Way,Broomfield,CO,80021,Portland
51,0410,915 Lafayette Blvd. - Room 201,Bridgeport,CT,06604,Boston
52,0411,Bradley International Airport,Windsor Locks,CT,06096,Boston
53,0412,150 Court Street - Suite 672,New Haven,CT,06511,Boston
54,0413,150 Bank Street,New London,CT,06320,Boston
55,1103,908 New Churchman's Road,New Castle,DE,19720,Baltimore
56,1803,10426 Alta Drive,Jacksonville,FL,32226,Tampa
57,1801,"1624 East Seventh Avenue, Suite 101",Tampa,FL,33605,Tampa
58,1816,200 George King Blvd,Cape Canaveral,FL,32920,Tampa
59,1884,720 Catalina Drive,Daytona Beach,FL,32114,Tampa
60,1805,403 North Third Street,Fernandina Beach,FL,32034,Tampa
61,1822,11000 Terminal Access Road #8636,Fort Myers,FL,33913,Tampa
62,5202,301 Simonton Street,Key West,FL,33040,Miami
63,1881,3900 Don Emerson Dr.,Lakeland,FL,33811,Tampa
64,1887,8742 Airport Blvd,Leesburg,FL,34788,Tampa
65,1885,One Air Terminal Parkway,Melbourne,FL,32901,Tampa
66,5206,4200 NW 21st Street,Miami,FL,33122,Miami
67,5201,903 South America Way,Miami,FL,33132,Miami
68,1880,2460 Tower Drive,Naples,FL,34104,Tampa
69,1888,365 Rickenbacker Drive,Orlando,FL,32803,Tampa
70,1808,9043 Tradeport Drive,Orlando,FL,32827,Tampa
71,1818,140 Richard Jackson Blvd. Suite 160,Panama City Beach,FL,32407,Tampa
72,1819,880 N Reus St.,Pensacola,FL,32501,Tampa
73,5203,1800 Eller Drive,Fort Lauderdale,FL,33316,Miami
74,1821,400 Tampa Bay Way,Palmetto,FL,34221,Tampa
75,1809,"1100 Red Cleveland Blvd., Suite 100",Sanford,FL,32773,Tampa
76,1883,6048 Airport Circle,Sarasota,FL,34243-2159,
77,1889,396 Estrella Ave,St. Augustine,FL,32095,Tampa
78,1814,14700 Terminal Blvd. #120,Clearwater,FL,33762,Tampa
79,5204,1 East 11th Street,Riviera Beach,FL,33404,Miami
80,1704,157 Tradeport Drive,Atlanta,GA,30354,
81,1701,"700 Gloucester Street, 2nd Floor",Brunswick,GA,31520,Atlanta
82,1703,1 East Bay Street,Savannah,GA,31401,Atlanta
83,3202,29 Kuhio Street,Hilo,HI,96720,San Francisco
84,3205,Honolulu International Airport,Honolulu,HI,96819,San Francisco
85,3201,300 Ala Moana Blvd. Room 2500,Honolulu,HI,96850,San Francisco
86,3203,Kahului Airport,Kahului,HI,96732,San Francisco
87,3206,"Kona International Airport, Federal Inspection Sta",Kailua-Kona,HI,96740,San Francisco
88,3204,Lihue Airport,Lihue,HI,96766,San Francisco
89,2907,4655 S. Enterprise Street,Boise,ID,83705,Portland
90,3302,Hwy 95 N. at Canadian border,Eastport,ID,83826,Seattle
91,3308,Highway 1 at Canadian Border,Porthill,ID,83853-0040,Seattle
92,3901,5600 Pearl Street,Rosemont,IL,60018,Chicago
93,3908,2480 69th Avenue,Moline,IL,61265,Chicago
94,3985,Decatur Airport,Decatur,IL,62521,Chicago
95,4581,8810 Richard Brauer Road,Mascoutah,IL,62258,Chicago
96,3902,6100 W. Everett M. Dirksen Parkway,Peoria,IL,61607-1778,Chicago
97,3909,50 Airport Drive,Rockford,IL,61109,Chicago
98,3981,3558 N. McAree Road,Waukegan,IL,60087,Chicago
99,3984,DuPage County Airport,West Chicago,IL,60185-0787,Chicago
100,3983,Chicago Executive Airport,Wheeling,IL,60090,Chicago
101,4116,"101 N.W. Martin Luther King, Jr. Boulevard",Evansville,IN,47708,Chicago
102,4183,12602 Global Drive,Yoder,IN,46798,Chicago
103,3905,6001-A Airport Road,Gary,IN,46406,Chicago
104,4110,Indianapolis International Airport,Indianapolis,IN,46241,Chicago
105,3513,6000 Fleur Drive,Des Moines,IA,50321,Chicago
106,4504,1700 Airport Road,Wichita,KS,67209,Chicago
107,4102,4243 Olympic Blvd.,Erlanger,KY,41018,Chicago
108,4184,Bluegrass Airport,Lexington,KY,40510,Chicago
109,4115,Louisville International Airport,Louisville,KY,40209,Chicago
110,2004,5353 Essen Lane,Baton Rouge,LA,70809,New Orleans
111,2010,110 North Airline Avenue,Gramercy,LA,70052,New Orleans
112,2017,152 Marine Street,Lake Charles,LA,70601,New Orleans
113,2001,16819 East Main Street,Cut Off,LA,70345,New Orleans
114,2002,423 Canal Street,New Orleans,LA,70130,New Orleans
115,2018,5653 West Perimeter Road,Shreveport,LA,71109,New Orleans
116,0102,267a Godfrey Blvd,Bangor,ME,04401,Boston
117,0112,267a Godfrey Blvd.,Bangor,ME,04401,Boston
118,0111,155 Gannett Drive,South Portland,ME,04106,Boston
119,0132,267a Godfrey Blvd.,Bangor,ME,04401,Boston
120,0127,454 Boundary Line Rd,Bridgewater,ME,04735,Boston
121,0115,180 International Avenue,Calais,ME,04619,Boston
122,0103,141 Water Street,Eastport,ME,04631,Boston
123,0107,4 Boundary Line Road,Fort Fairfield,ME,04742,Boston
124,0110,401 West Main St.,Fort Kent,ME,04743,Boston
125,0106,Route 95 at the Border,Houlton,ME,04730,Boston
126,0104,2614 Main Street,Sandy Bay Twp.,ME,04945,Boston
127,0122,3 Customs Street,Calais,ME,04619,Boston
128,0118,410 Grand Falls Road,Limestone,ME,04750,Boston
129,0109,63 Bridge Avenue,Madawaska,ME,04756,Boston
130,0101,155 Gannett Drive,South Portland,ME,04106,Boston
131,0121,267a Godfrey Blvd.,Bangor,ME,04401,Boston
132,0108,173 Acadian Way,Van Buren,ME,04785,Boston
133,0105,133 Water Street,Vanceboro,ME,04491,Boston
134,1303,40 South Gay Street,Baltimore,MD,21202,Baltimore
135,0401,10 Causeway Street - Room 603,Boston,MA,02222,Boston
136,0407,37 Second Street,New Bedford,MA,02740,Boston
137,0404,100 Cummings Center - Room 422A,Beverly,MA,01915,Boston
138,0416,100 Cummings Center - Room 422A,Beverly,MA,01915,Boston
139,0417,500 Terminal E,East Boston,MA,02128,Boston
140,0405,37 Second Street,New Bedford,MA,02740,Boston
141,0406,37 Second Street,New Bedford,MA,02740,Boston
142,0408,100 Cummings Center - Room 422A,Beverly,MA,01915,Boston
143,0402,1414 Main Street,Springfield,MA,01144,Boston
144,0403,120 Front Street - Suite 800,Worcester,MA,01608,Boston
145,3805,4950 Dickman Road,Battle Creek,MI,49037,Detroit
146,3883,4100 Capital City Blvd.,Lansing,MI,48906,Detroit
147,3807,Edward H. McNamara Terminal,Detroit,MI,48242,Detroit
148,3801,2810 B West Fort Street,Detroit,MI,48216,Detroit
149,3806,6450 Air Cargo Drive SE,Grand Rapids,MI,49512,Detroit
150,3802,526 Water Street - Room 301,Port Huron,MI,48060-5471,Detroit
151,3804,8500 Garfield Rd. Suite 103,Freeland,MI,48623,Detroit
152,3803,900 International Bridge Plaza,Sault Sainte Marie,MI,49783-1492,Detroit
153,3424,600 International Drive,Baudette,MN,56623-0617,Seattle
154,3510,"Federal Building, Room 217",Duluth,MN,55802,Chicago
155,3613,9403 E Highway 61,Grand Portage,MN,55605,Seattle
